"External ID","Code","Description"
"l10n_eu_nace.nace_10_89","10.89","Proizvodnja ostalih prehrambenih proizvoda, d. n. "
"l10n_eu_nace.nace_10_9","10.9","Proizvodnja pripremljene hrane za životinje"
"l10n_eu_nace.nace_10_91","10.91","Proizvodnja pripremljene stočne hrane"
"l10n_eu_nace.nace_10_92","10.92","Proizvodnja pripremljene hrane za kućne ljubimce"
"l10n_eu_nace.nace_11","11","Proizvodnja pića"
"l10n_eu_nace.nace_11_0","11.0","Proizvodnja pića"
"l10n_eu_nace.nace_11_01","11.01","Destiliranje, pročišćavanje i miješanje alkoholnih pića"
"l10n_eu_nace.nace_11_02","11.02","Proizvodnja vina od grožđa"
"l10n_eu_nace.nace_11_03","11.03","Proizvodnja jabukovače i ostalih voćnih vina"
"l10n_eu_nace.nace_11_04","11.04","Proizvodnja ostalih nedestiliranih fermentiranih pića"
"l10n_eu_nace.nace_11_05","11.05","Proizvodnja piva"
"l10n_eu_nace.nace_11_06","11.06","Proizvodnja slada"
"l10n_eu_nace.nace_11_07","11.07","Proizvodnja osvježavajućih napitaka; proizvodnja mineralne i drugih flaširanih voda"
"l10n_eu_nace.nace_12","12","Proizvodnja duhanskih proizvoda"
"l10n_eu_nace.nace_12_0","12.0","Proizvodnja duhanskih proizvoda"
"l10n_eu_nace.nace_12_00","12.00","Proizvodnja duhanskih proizvoda"
"l10n_eu_nace.nace_13","13","Proizvodnja tekstila"
"l10n_eu_nace.nace_13_1","13.1","Priprema i predenje tekstilnih vlakana"
"l10n_eu_nace.nace_13_10","13.10","Priprema i predenje tekstilnih vlakana"
"l10n_eu_nace.nace_13_2","13.2","Tkanje tekstila"
"l10n_eu_nace.nace_13_20","13.20","Tkanje tekstila"
"l10n_eu_nace.nace_13_3","13.3","Dovršavanje tekstila"
"l10n_eu_nace.nace_13_30","13.30","Dovršavanje tekstila"
"l10n_eu_nace.nace_13_9","13.9","Proizvodnja ostalog tekstila"
"l10n_eu_nace.nace_13_91","13.91","Proizvodnja pletenih i kukičanih tkanina"
"l10n_eu_nace.nace_13_92","13.92","Proizvodnja gotovih tekstilnih proizvoda, osim odjeće"
"l10n_eu_nace.nace_13_93","13.93","Proizvodnja tepiha i sagova "
"l10n_eu_nace.nace_13_94","13.94","Proizvodnja užadi, konopaca, upletenoga konca i mreža"
"l10n_eu_nace.nace_13_95","13.95","Proizvodnja netkanog tekstila i proizvoda od netkanog tekstila, osim odjeće"
"l10n_eu_nace.nace_13_96","13.96","Proizvodnja ostaloga tehničkog i industrijskog tekstila"
"l10n_eu_nace.nace_13_99","13.99","Proizvodnja ostalog tekstila, d. n."
"l10n_eu_nace.nace_14","14","Proizvodnja odjeće"
"l10n_eu_nace.nace_14_1","14.1","Proizvodnja odjeće, osim krznene odjeće"
"l10n_eu_nace.nace_14_11","14.11","Proizvodnja kožne odjeće"
"l10n_eu_nace.nace_14_12","14.12","Proizvodnja radne odjeće "
"l10n_eu_nace.nace_14_13","14.13","Proizvodnja ostale vanjske odjeće"
"l10n_eu_nace.nace_14_14","14.14","Proizvodnja rublja"
"l10n_eu_nace.nace_14_19","14.19","Proizvodnja ostale odjeće i pribora za odjeću "
"l10n_eu_nace.nace_14_2","14.2","Proizvodnja proizvoda od krzna"
"l10n_eu_nace.nace_14_20","14.20","Proizvodnja proizvoda od krzna"
"l10n_eu_nace.nace_14_3","14.3","Proizvodnja pletene i kukičane odjeće"
"l10n_eu_nace.nace_14_31","14.31","Proizvodnja pletenih i kukičanih čarapa"
"l10n_eu_nace.nace_14_39","14.39","Proizvodnja ostale pletene i kukičane odjeće"
"l10n_eu_nace.nace_15","15","Proizvodnja kože i srodnih proizvoda"
"l10n_eu_nace.nace_15_1","15.1","Štavljenje i obrada kože; proizvodnja putnih i ručnih torba, sedlarskih i remenarskih proizvoda; dorada i bojenje krzna"
"l10n_eu_nace.nace_15_11","15.11","Štavljenje i obrada kože; dorada i bojenje krzna"
"l10n_eu_nace.nace_15_12","15.12","Proizvodnja putnih i ručnih torba i slično, sedlarskih i remenarskih proizvoda"
"l10n_eu_nace.nace_15_2","15.2","Proizvodnja obuće"
"l10n_eu_nace.nace_15_20","15.20","Proizvodnja obuće"
"l10n_eu_nace.nace_16","16","Prerada drva i proizvoda od drva i pluta, osim namještaja; proizvodnja proizvoda od slame i pletarskih materijala"
"l10n_eu_nace.nace_16_1","16.1","Piljenje i blanjanje drva"
"l10n_eu_nace.nace_16_10","16.10","Piljenje i blanjanje drva"
"l10n_eu_nace.nace_16_2","16.2","Proizvodnja proizvoda od drva, pluta, slame i pletarskih materijala"
"l10n_eu_nace.nace_16_21","16.21","Proizvodnja furnira i ostalih ploča od drva"
"l10n_eu_nace.nace_16_22","16.22","Proizvodnja sastavljenog parketa"
"l10n_eu_nace.nace_16_23","16.23","Proizvodnja ostale građevne stolarije i elemenata"
"l10n_eu_nace.nace_16_24","16.24","Proizvodnja ambalaže od drva"
"l10n_eu_nace.nace_16_29","16.29","Proizvodnja ostalih proizvoda od drva, proizvoda od pluta, slame i pletarskih materijala"
"l10n_eu_nace.nace_17","17","Proizvodnja papira i proizvoda od papira"
"l10n_eu_nace.nace_17_1","17.1","Proizvodnja celuloze, papira i kartona"
"l10n_eu_nace.nace_17_11","17.11","Proizvodnja celuloze"
"l10n_eu_nace.nace_17_12","17.12","Proizvodnja papira i kartona"
"l10n_eu_nace.nace_17_2","17.2","Proizvodnja proizvoda od papira i kartona"
"l10n_eu_nace.nace_17_21","17.21","Proizvodnja valovitog papira i kartona te ambalaže od papira i kartona"
"l10n_eu_nace.nace_17_22","17.22","Proizvodnja robe za kućanstvo i higijenu te toaletnih potrepština od papira"
"l10n_eu_nace.nace_17_23","17.23","Proizvodnja uredskog materijala od papira"
"l10n_eu_nace.nace_17_24","17.24","Proizvodnja zidnih tapeta"
"l10n_eu_nace.nace_17_29","17.29","Proizvodnja ostalih proizvoda od papira i kartona"
"l10n_eu_nace.nace_18","18","Tiskanje i umnožavanje snimljenih zapisa"
"l10n_eu_nace.nace_18_1","18.1","Tiskanje i uslužne djelatnosti povezane s tiskanjem"
"l10n_eu_nace.nace_18_11","18.11","Tiskanje novina"
"l10n_eu_nace.nace_18_12","18.12","Ostalo tiskanje "
"l10n_eu_nace.nace_18_13","18.13","Usluge pripreme za tisak i objavljivanje"
"l10n_eu_nace.nace_18_14","18.14","Knjigoveške i srodne usluge "
"l10n_eu_nace.nace_18_2","18.2","Umnožavanje snimljenih zapisa"
"l10n_eu_nace.nace_18_20","18.20","Umnožavanje snimljenih zapisa"
"l10n_eu_nace.nace_19","19","Proizvodnja koksa i rafiniranih naftnih proizvoda"
"l10n_eu_nace.nace_19_1","19.1","Proizvodnja proizvoda koksnih peći"
"l10n_eu_nace.nace_19_10","19.10","Proizvodnja proizvoda koksnih peći"
"l10n_eu_nace.nace_19_2","19.2","Proizvodnja rafiniranih naftnih proizvoda"
"l10n_eu_nace.nace_19_20","19.20","Proizvodnja rafiniranih naftnih proizvoda"
"l10n_eu_nace.nace_20","20","Proizvodnja kemikalija i kemijskih proizvoda"
"l10n_eu_nace.nace_20_1","20.1","Proizvodnja osnovnih kemikalija, gnojiva i dušičnih spojeva, plastike i sintetičkoga kaučuka u primarnim oblicima"
"l10n_eu_nace.nace_20_11","20.11","Proizvodnja industrijskih plinova"
"l10n_eu_nace.nace_20_12","20.12","Proizvodnja koloranata i pigmenata"
"l10n_eu_nace.nace_20_13","20.13","Proizvodnja ostalih anorganskih osnovnih kemikalija"
"l10n_eu_nace.nace_20_14","20.14","Proizvodnja ostalih organskih osnovnih kemikalija"
"l10n_eu_nace.nace_20_15","20.15","Proizvodnja gnojiva i dušičnih spojeva"
"l10n_eu_nace.nace_20_16","20.16","Proizvodnja plastike u primarnim oblicima"
"l10n_eu_nace.nace_20_17","20.17","Proizvodnja sintetičkoga kaučuka u primarnim oblicima"
"l10n_eu_nace.nace_20_2","20.2","Proizvodnja pesticida i drugih agrokemijskih proizvoda"
"l10n_eu_nace.nace_20_20","20.20","Proizvodnja pesticida i drugih agrokemijskih proizvoda"
"l10n_eu_nace.nace_20_3","20.3","Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
"l10n_eu_nace.nace_20_30","20.30","Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
"l10n_eu_nace.nace_20_4","20.4","Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje, parfema i toaletno-kozmetičkih preparata"
"l10n_eu_nace.nace_20_41","20.41","Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje"
"l10n_eu_nace.nace_20_42","20.42","Proizvodnja parfema i toaletno-kozmetičkih preparata"
"l10n_eu_nace.nace_20_5","20.5","Proizvodnja ostalih kemijskih proizvoda"
"l10n_eu_nace.nace_20_51","20.51","Proizvodnja eksploziva"
"l10n_eu_nace.nace_20_52","20.52","Proizvodnja ljepila "
"l10n_eu_nace.nace_20_53","20.53","Proizvodnja eteričnih ulja"
"l10n_eu_nace.nace_20_59","20.59","Proizvodnja ostalih kemijskih proizvoda, d. n. "
"l10n_eu_nace.nace_20_6","20.6","Proizvodnja umjetnih vlakana"
"l10n_eu_nace.nace_20_60","20.60","Proizvodnja umjetnih vlakana"
"l10n_eu_nace.nace_21","21","Proizvodnja osnovnih farmaceutskih proizvoda i farmaceutskih pripravaka"
"l10n_eu_nace.nace_21_1","21.1","Proizvodnja osnovnih farmaceutskih proizvoda"
"l10n_eu_nace.nace_21_10","21.10","Proizvodnja osnovnih farmaceutskih proizvoda"
"l10n_eu_nace.nace_21_2","21.2","Proizvodnja farmaceutskih pripravaka"
"l10n_eu_nace.nace_21_20","21.20","Proizvodnja farmaceutskih pripravaka"
"l10n_eu_nace.nace_22","22","Proizvodnja proizvoda od gume i plastike"
"l10n_eu_nace.nace_22_1","22.1","Proizvodnja proizvoda od gume"
"l10n_eu_nace.nace_22_11","22.11","Proizvodnja vanjskih i unutrašnjih guma za vozila; protektiranje vanjskih guma"
"l10n_eu_nace.nace_22_19","22.19","Proizvodnja ostalih proizvoda od gume"
"l10n_eu_nace.nace_22_2","22.2","Proizvodnja proizvoda od plastike"
